region,feature,v_auc,v_lo,v_hi,n_burned,v_sup,c_auc,c_lo,c_hi,c_sup,auc_diff,flag_disagree
mugla_2021,elevation_mean,0.6114025048859928,0.5293535718404065,0.6919275551137551,2911,True,0.6114025048859928,0.5319021930545539,0.6904319830630276,True,0.0,False
mugla_2021,slope_mean,0.6368180084143384,0.5844444276707379,0.6891178842869343,2911,True,0.6368180084143384,0.5819257681498503,0.68641744780742,True,0.0,False
mugla_2021,lst_anomaly_mean,0.4845735569026068,0.39560774187162223,0.5704077484920387,2911,False,0.4845735569026068,0.3945167019229775,0.5660732073894761,False,0.0,False
mugla_2021,current_lst_mean,0.324818209196232,0.271196081495244,0.38598937583868786,2911,True,0.324818209196232,0.2713831954453114,0.3821312123411832,True,0.0,False
mugla_2021,current_tvdi_mean,0.3357699119089857,0.2706950899545906,0.40264431844002924,2911,True,0.3357699119089857,0.27535685410747573,0.39757500369355586,True,0.0,False
mugla_2021,tvdi_difference_mean,0.49002459954410754,0.40048827639280404,0.5890794192083837,2911,False,0.49002459954410754,0.3964138391440796,0.5747477756769651,False,0.0,False
mugla_2021,downscaled_lst_mean,0.30697725296436723,0.2513739472156283,0.37032740204756714,2911,True,0.30697725296436723,0.25320481926586585,0.36583706101459185,True,0.0,False
mugla_2021,fused_lst_mean,0.32521434622074175,0.2714207058045128,0.3870599276022761,2911,True,0.32521434622074175,0.2720012810467721,0.3827633213333897,True,0.0,False
evia_2021_extended,ndvi_mean,0.6391494562092995,0.5767341996040618,0.7021960140116192,2664,True,0.6391494562092995,0.5749285449525442,0.7006046421340476,True,0.0,False
evia_2021_extended,elevation_mean,0.540559580910425,0.44909142430263377,0.6310989245867527,2664,False,0.540559580910425,0.4483537317612215,0.626146085073554,False,0.0,False
evia_2021_extended,slope_mean,0.486543098344048,0.41675053009192176,0.5566848665700901,2664,False,0.486543098344048,0.41769297357779134,0.554042450008236,False,0.0,False
evia_2021_extended,lst_anomaly_mean,0.6400549435604515,0.5655223617566586,0.7095158292221176,2664,True,0.6400549435604515,0.5671047052827075,0.710175869871198,True,0.0,False
evia_2021_extended,current_lst_mean,0.37651907667348405,0.3004157876886663,0.4528116706480587,2664,True,0.37651907667348405,0.3012790089007279,0.45585820887246337,True,0.0,False
evia_2021_extended,current_tvdi_mean,0.36188826587369816,0.28549495132581226,0.44191034708344035,2664,True,0.36188826587369816,0.2852365355103699,0.44217142834635265,True,0.0,False
evia_2021_extended,tvdi_difference_mean,0.5191031776643451,0.44054273268960714,0.5906347815514483,2664,False,0.5191031776643451,0.4444187250619392,0.5889301019447588,False,0.0,False
evia_2021_extended,downscaled_lst_mean,0.3765491129362415,0.29565949363472577,0.46218456859384593,2664,True,0.3765491129362415,0.29685914048213763,0.4593307010841324,True,0.0,False
evia_2021_extended,fused_lst_mean,0.37566126384147186,0.3000109634560104,0.45187985674916503,2664,True,0.37566126384147186,0.30015191434549077,0.4556221037116367,True,0.0,False
montiferru_2021,ndvi_mean,0.5862731853113042,0.45014383161602317,0.7043832813462082,539,False,0.5862731853113042,0.45014383161602317,0.7043832813462082,False,0.0,False
montiferru_2021,elevation_mean,0.5837706290859124,0.3953155499799928,0.7623088314675833,539,False,0.5837706290859124,0.3953155499799928,0.7623088314675833,False,0.0,False
montiferru_2021,slope_mean,0.6519721105399766,0.5059965620455151,0.7705472817222545,539,True,0.6519721105399766,0.5059965620455151,0.7705472817222545,True,0.0,False
montiferru_2021,lst_anomaly_mean,0.39519013227598904,0.285145350453144,0.5345227829044743,539,False,0.39519013227598904,0.285145350453144,0.5345227829044743,False,0.0,False
montiferru_2021,current_lst_mean,0.3704643770906685,0.24782684782865552,0.5129602234841384,539,False,0.3704643770906685,0.24782684782865552,0.5129602234841384,False,0.0,False
montiferru_2021,current_tvdi_mean,0.3555286181577596,0.2331671304845549,0.4990539748344443,539,True,0.3555286181577596,0.2331671304845549,0.4990539748344443,True,0.0,False
montiferru_2021,tvdi_difference_mean,0.37762180818824925,0.2821229847499818,0.49651149112782955,539,True,0.37762180818824925,0.2821229847499818,0.49651149112782955,True,0.0,False
montiferru_2021,downscaled_lst_mean,0.364736376795746,0.24025899649425494,0.5110558445055425,539,False,0.364736376795746,0.24025899649425494,0.5110558445055425,False,0.0,False
montiferru_2021,fused_lst_mean,0.37047270506479624,0.247836825343333,0.5130079558295708,539,False,0.37047270506479624,0.247836825343333,0.5130079558295708,False,0.0,False
